79,"分",419382,"fen1/fen4","to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part","time, location"
80,"还",415855,"hai2/huan2/huan4","also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return","none"
81,"进",412166,"jin4","advance/enter/to come in","none"
82,"好",411866,"hao3/hao4","good/well, be fond of","none"
83,"小",410987,"xiao3","small/tiny/few/young","none"
84,"部",403066,"bu4","ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)","none"
85,"其",403028,"qi2","his/her/its/theirs/that/such/it (refers to sth preceding it)","pronoun"
86,"些",400528,"xie1","some/few/several/(a measure word)","number"
87,"主",399693,"zhu3","to own/to host/master/lord/primary","verb"
88,"样",398149,"yang4","manner/pattern/way/appearance/shape","none"
89,"理",398087,"li3","reason/logic/science/inner principle or structure","none"
90,"心",392228,"xin1","heart/mind","none"
91,"她",388612,"ta1","she","pronoun"
92,"本",388118,"ben3","roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)","food"
93,"前",381431,"qian2","before/in front/ago/former/previous/earlier/front","preposition"
94,"开",377012,"kai1","open/operate (vehicle)/start","none"
95,"但",374459,"dan4","but/yet/however/only/merely/still","time"
96,"因",371612,"yin1","cause/because","none"
97,"只",370059,"qi2/zhi1/zhi3","earth-spirit/peace, (a measure word for animals)/only, one of a pair, only, only","number"
98,"从",369958,"cong1/cong2/zong4","lax/unhurried, observe/follow, second cousin","none, family"
99,"想",368819,"xiang3","to think/to believe/to suppose/to wish/to want/to miss","verb"
100,"实",368494,"shi2","real/true/honest/really/solid","basic"
101,"日",363763,"ri4","Japan/day/sun/","time"
102,"军",362526,"1-Jun","army/military/arms","none"
103,"者",360974,"zhe3","-ist, -er (person)","part"
104,"意",360232,"yi4","idea/meaning/desire/Italy (abbr.)","none"
105,"无",359265,"wu2","-less/to lack/un-","part"
106,"力",359136,"li4","power/strength","basic"
107,"它",346173,"ta1","it","pronoun"
108,"与",345532,"yu2/yu3/yu4","(interrog. part.), and/to give/together with, take part in","verb"
109,"长",342148,"chang2/zhang3","length/long/forever/always/constantly, chief/head/elder/to grow/to develop","none"
110,"把",340730,"ba3/ba4","(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle","verb"
111,"机",339823,"ji1","machine/opportunity/secret","none"
112,"十",338954,"shi2","ten/10","number"
113,"民",335796,"min2","the people/nationality/citizen","none"
114,"第",325780,"di4","(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)","number"
115,"公",318626,"gong1","just/honorable (designation)/public/common","none"
116,"此",318534,"ci3","this/these","none"
117,"已",318143,"yi3","already/to stop/then/afterwards","verb"
118,"工",317532,"gong1","work/worker/skill/profession/trade/craft/labor","none"
119,"使",316273,"shi3","to make/to cause/to enable/to use/to employ/messenger","none"
120,"情",312900,"qing2","feeling/emotion/passion/situation","none"
121,"明",309873,"ming2","clear/bright/to understand/next/the Ming dynasty","none"
122,"性",309844,"xing4","sex/nature/surname/suffix corresponding to -ness or -ity","none"
123,"知",306384,"zhi1","to know/to be aware","verb"
124,"全",305248,"quan2","all/whole/entire/every/complete","none"
125,"三",304272,"san1","three/3","number"
126,"又",302933,"you4","(once) again/also/both... and.../again","none"
127,"关",302473,"guan1","(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve","verb"
128,"点",300800,"dian3","o'clock/(a measure word)/point/dot/(decimal) point)","none"
129,"正",296810,"zheng1/zheng4","Chinese 1st month of year, just (right)/main/upright/straight/correct/principle","time"
130,"业",296169,"ye4","business/occupation/study","none"
131,"外",295645,"wai4","outside/in addition/foreign/external","basic"
132,"将",295586,"jiang1/jiang4","(will, shall, ""future tense"")/ready/prepared/to get/to use, a general","verb"
133,"两",294600,"liang3","both/two/ounce/some/a few/tael","number"
134,"高",293542,"gao1","high/tall","basic"
135,"间",292227,"jian1/jian4","between/among/space/(measure word), interstice/separate","none"
136,"由",292199,"you2","follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)","preposition"
137,"问",288237,"wen4","to ask","verb"
138,"很",284252,"hen3","very/extremely","basic"
139,"最",283689,"zui4","(the) most/-est","part"
140,"重",282843,"chong2/zhong4","to double/to repeat/repetition/iteration/again/a layer, heavy/serious","number"
141,"并",281616,"bing4","and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with","none"
142,"物",281146,"wu4","thing/object/matter","none"
143,"手",280442,"shou3","hand/convenient","none"
144,"应",280384,"ying1/ying4","ought, (surname)/to answer/to respond","none"
145,"战",278776,"zhan4","to fight/fight/war/battle","verb"
146,"向",276986,"xiang4","direction/part/side/towards/to/guide/opposite to, guide/opposite to","none"
147,"头",274911,"tou2/tou","head, suff. for nouns","part"
148,"文",274222,"wen2","language/culture/writing/formal/literary","none"
149,"体",273792,"ti3","body/form/style/system","none"
150,"政",269878,"zheng4","political/politics/government","none"
151,"美",269452,"mei3","America/beautiful","basic"
152,"相",269125,"xiang1/xiang4","each other/one another/mutually, appearance/portrait/picture","none"
153,"见",269080,"jian4/xian4","to see/to meet/to appear (to be sth)/to interview, appear","none"
154,"被",268905,"bei4","by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear","none"
155,"利",268813,"li4","advantage/benefit/profit/sharp","none"
156,"什",267869,"shen2/shi2","what, tenth (used in fractions)","number"
157,"二",267506,"er4","two/2","number"
158,"等",266296,"deng3","class/rank/grade/equal to/same as/wait for/await/et cetera/and so on","none"
159,"产",265164,"chan3","to reproduce/to produce/give birth/products/produce/resources/estate/property","none"
160,"或",260786,"huo4","maybe/perhaps/might/possibly/or","none"
161,"新",253921,"xin1","meso- (chem.)/new/newly","none"
162,"己",250894,"ji3","6th heavenly stem/self","none"
163,"制",250754,"zhi4","system/to make/to manufacture/to control/to regulate, manufacture","none"
164,"身",249725,"shen1","body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit","none"
165,"果",246831,"guo3","fruit/result","none"
166,"加",243648,"jia1","to add/plus","verb"
167,"西",243619,"xi1","west","direction, location"
168,"斯",240900,"si1","(phonetic)/this","pronoun"
169,"月",240566,"yue4","moon/month","none"
170,"话",240067,"hua4","dialect/language/spoken words/speech/talk/words/conversation/what someone said","none"
171,"合",239277,"ge3/he2","one-tenth of a peck, Chinese musical note/fit/to join","none"
172,"回",239243,"hui2","(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam","none"
173,"特",239091,"te2/te4","special/unusual/extraordinary, male animal/special (-ly)","none"
174,"代",231734,"dai4","substitute/replace/generation/dynasty/geological era/era/age/period","none"
175,"内",231331,"nei4","inside/inner/internal/within/interior","preposition"
176,"信",230248,"xin4","letter/true/to believe/sign/evidence","none"
177,"表",226768,"biao3","surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external","none"
178,"化",224729,"hua4","to make into/to change into/-ization/to ... -ize/to transform","verb"
179,"老",223050,"lao3","(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)","none"
180,"给",217815,"gei3/ji3","to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide","none"
181,"世",214990,"shi4","life/age/generation/era/world/lifetime","time"
182,"位",214983,"wei4","position/location/(measure word for persons)/place/seat","location"
183,"次",214857,"ci4","nth/number (of times)/order/sequence/next/second(ary)/(measure word)","number"
184,"度",214376,"du4","capacity/degree/standard","none"
185,"门",212769,"men2","opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)","none"
186,"任",212485,"ren4","to assign/to appoint/office/responsibility","verb"
187,"常",212309,"chang2","always/ever/often/frequently/common/general/constant","none"
188,"先",210628,"xian1","early/prior/former/in advance/first","none"
189,"海",209302,"hai3","ocean/sea","none"
190,"通",209046,"tong1","go through/know well/to connect/to communicate/open","none"
191,"教",208875,"jiao1/jiao4","teach, religion/teaching","none"
192,"儿",207827,"er2/er","son, non-syllabic dimi. suff.","none"
193,"原",207579,"yuan2","former/original/primary/raw/level/cause/source","none"
194,"东",206238,"dong1","east","location"
195,"声",206083,"sheng1","sound/voice/(a measure word, used for sounds)/tone/noise","none"
196,"提",205159,"di1/ti2","carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention","none"
197,"立",204985,"li4","set up/to stand","none"
198,"及",202671,"ji2","to reach/and","none"
199,"比",200645,"bi3/bi4","(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near","part"
200,"员",200217,"yuan2","person/employee/member","none"
201,"解",200090,"jie3/jie4/xie4","to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)","none"
202,"水",198933,"shui3","water/river","none"
203,"名",198481,"ming2","name/(measure word for persons)/place (e.g. among winners)","none"
204,"真",198416,"zhen1","real/true/genuine","basic"
205,"论",197165,"lun2/lun4","the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss","none"
206,"处",194237,"chu3/chu4","to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect","none"
207,"走",193619,"zou3","to walk/to go/to move","verb"
208,"义",193507,"yi4","justice/righteousness/meaning","none"
209,"各",193435,"ge4","each/every","none"
210,"入",192433,"ru4","to enter","verb"
211,"几",192355,"ji1/ji3","small table, almost, a few/how many, how much/how many/several/a few","none"
212,"口",191936,"kou3","mouth/(a measure word)","none"
213,"认",191866,"ren4","to recognize/to know/to admit","none"
214,"条",191280,"tiao2","measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article","none"
215,"平",191267,"ping2","flat/level/equal/to make the same score/to tie/to draw/calm/peaceful","none"
216,"系",190769,"xi4","be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie","none"
217,"气",190687,"qi4","air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged","none"
218,"题",189921,"ti2","topic/subject/to inscribe/to superscribe","none"
219,"活",189876,"huo2","to live/alive/living/work/workmanship","verb"
220,"尔",189785,"er3","thus/so/like that/you/thou","pronoun"
221,"更",187378,"geng1/geng4","to change, more/even more/further/still/still more","verb"
222,"别",186634,"bie2/bie4","leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward","none"
223,"打",186146,"da2/da3","dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from","none"
224,"女",185188,"nu:3/nv3","female/woman","none"
225,"变",185121,"bian4","to change/to become different/to transform/to vary/rebellion","verb"
