128,you have (pl),vi imate,,verbs
128,they have (m),oni imaju,,verbs
128,they have (f),one imaju,,verbs
128,they have (n),ona imaju,,verbs
32,He is a good man, On je dobar čovjek,,none
32,She is a good woman, Ona je dobra žena,,none
64,Do you have vegetarian food?,Da li imate vegetarijanski obrok,,none
16,Vocabulary,Rječnik,,none
16,Countries,Zemlje,,none
16,Australia,Australija,,none
16,Cambodia,Kambodža,,none
16,Canada,Kanada,,none
16,China,Kina,,none
16,Egypt,Egipat,,none
16,England,Engleska,,none
16,France,Francuska,,none
16,Germany,Njemačka,,none
16,Greece,Grčka,,none
16,India,Indija,,none
16,Indonesia,Indonezija,,none
16,Italy,Italija,,none
16,Japan,Japan,,none
16,Mexico,Meksiko,,none
16,Morocco,Maroko,,none
16,Peru,Peru,,none
16,Spain,Španjolska,,none
16,Thailand,Tajland,,none
16,USA,SAD,,none
16,Languages,Jezici,,none
16,Arabic,Arapski,,none
16,Chinese,Kineski,,none
16,English,Engleski,,none
16,French,Francuski,,none
32,German,Njemački,,none
16,Greek,Grčki,,none
16,Hebrew,Hebrejski,,none
16,Hindi,Hindski,,none
16,Italian,Talijanski,,none
16,Japanese,Japanski,,none
16,Korean,Korejski,,none
16,Latin,Latinski,,none
16,Russian,Ruski,,none
16,Spanish,Španjolski,,none
16,Urdu,Urdu,,none
16,Days,Dani,,none
16,Monday,Ponedjeljak,,none
16,Tuesday,Utorak,,none
16,Wednesday,Srijeda,,none
16,Thursday,četvrtak,,none
16,Friday,Petak,,none
16,Saturday,Subota,,none
16,Sunday,Nedjelja,,none
32,time,vrijeme,,time
32,hour,sat,,time
32,minute,minuta,,time
32,second,sekunda,,time
16,colors,boje,,colors
16,black,crna,,colors
16,blue,plava,,colors
16,brown,smeča,,colors
16,gray,siva,,colors
16,green,zelena,,colors
16,orange,narandžasta,,colors
16,purple,ljubičasta,,colors
16,red,crvena,,colors
16,white,bijela,,colors
16,yellow,žuta,,colors
16,sizes,Veličine,,none
320,big,velik,,none
320,deep,dubok,,none
320,long,dug,,none
320,narrow,uzak,,none
320,short,kratak,,none
320,small,nizak,,none
320,tall,visok,,none
320,thick,debeo,,none
320,thin,tanak,,none
320,wide,širok,,none
320,tastes,okusi,,none
64,bitter,gorko,,none
64,fresh,svježe,,none
64,salty,slano,,none
64,sour,kiselo,,none
64,spicy,začinjeno,,none
64,sweet,slatko,,none
64,qualities,svojstva,,none
64,bad,loše,,none
64,clean,čisto,,none
64,dark,tamno,,none
64,difficult,teško,,none
64,dirty,prljavo,,none
64,dry,suho,,none
64,easy,lako,,none
64,empty,prazno,,none
64,expensive,skupo,,none
64,fast,brzo,,none
64,foreign,strano,,none
64,full,puno,,none
64,good,dobro,,none
64,hard,tvrdo,,none
64,heavy,teško,,none
64,inexpensive,povoljno,,none
64,light,svijetlo,,none
64,local,mjesno,,none
64,new,novo,,none
64,noisy,bučno,,none
64,old,staro,,none
64,powerful,snažno,,none
64,quiet,tiho,,none
64,correct,ispravno,,none
64,slow,sporo,,none
64,soft,mekano,,none
64,very,vrlo,,none
64,weak,slabo,,none
64,wet,mokro,,none
64,wrong,krivo,,none
64,young,mlado,,none
64,food,hrana,,none
64,almonds,bademi,,none
64,bread,kruh,,none
64,breakfast,doručak,,none
64,butter,maslac,,none
64,candy,bombon,,none
64,cheese,sir,,none
64,chicken,piletina,,none
64,cumin,kim,,none
64,dessert,desert,,none
64,dinner,večera,,none
64,fish,riba,,none
64,fruit,voče,,none
64,ice cream,sladoled,,none
64,lamb,janjetina,,none
64,lemon,limun,,none
64,lunch,ručak,,none
64,meal,obrok,,none
64,meat,meso,,none
64,oven,pečnica,,none
64,pepper,papar,,none
64,plants,biljke,,none
64,pork,svinjetina,,none
64,salad,salata,,none
64,salt,sol,,none
64,sandwich,sendvič,,none
64,sausage,kobasica,,none
64,soup,juha,,none
64,sugar,šečer,,none
64,supper,večera,,none
64,turkey,puretina,,none
64,apple,jabuka,,none
64,banana,banana,,none
64,oranges,naranče,,none
64,peaches,breskve,,none
64,peanut,kikiriki,,none
64,pears,kruške,,none
64,pineapple,ananas,,none
64,grapes,grožče,,none
64,strawberries,jagode,,none
64,vegetables,povrče,,none
64,carrot,mrkva,,none
64,corn,kukuruz,,none
64,cucumber,krastavac,,none
64,garlic,češnjak,,none
64,lettuce,zelena salata,,none
64,olives,masline,,none
64,onions,luk,,none
64,peppers,papričice,,none
64,potatoes,krumpiri,,none
64,pumpkin,bundeva,,none
64,beans,grah,,none
64,tomatoes,rajčice,,none
64,alligator,aligator,,none
64,alligators,aligatori,,none
64,bear,medvjed,,none
64,bears,medvjedi,,none
64,bird,ptica,,none
64,birds,ptice,,none
64,bull,bik,,none
64,bulls,bikovi,,none
64,cat,mačka,,none
64,cats,mačke,,none
64,cow,krava,,none
64,cows,krave,,none
64,deer,jelen,,none
64,many deer,mnogo jelena,,none
64,dog,pas,,none
64,dogs,psi,,none
64,donkey,magarac,,none
64,donkeys,magarci,,none
64,eagle,orao,,none
64,eagles,orlovi,,none
64,elephant,slon,,none
64,elephants,slonovi,,none
64,giraffe,žirafa,,none
64,giraffes,žirafe,,none
64,goat,koza,,none
64,goats,koze,,none
64,horse,konj,,none
64,horses,konji,,none
64,lion,lav,,none
64,lions,lavovi,,none
64,monkey,majmun,,none
64,monkeys,majmuni,,none
64,mouse,miš,,none
64,mice,miševi,,none
64,rabbit,zec,,none
64,rabbits,zečevi,,none
64,snake,zmija,,none
64,snakes,zmije,,none
64,tiger,tigar,,none
64,tigers,tigrovi,,none
64,wolf,vuk,,none
64,wolves,vukovi,,none
64,objects,stvari,,none
64,bathroom,kupaonica,,none
64,bed,krevet,,none
64,bedroom,spavača soba,,none
64,ceiling,strop,,none
64,chair,stolica,,none
64,clothes,odječa,,none
64,coat,kaput,,none
64,cup,šalica,,none
64,desk,radni stol,,none
64,dress,haljina,,none
64,floor,pod,,none
64,fork,viljuška,,none
64,furniture,namještaj,,none
64,glass,staklo,,none
64,hat,šešir,,none
64,house,kuča,,none
64,ink,tinta,,none
64,jacket,jakna,,none
64,kitchen,kuhinja,,none
64,knife,nož,,none
64,lamp,svjetiljka,,none
64,letter,pismo,,none
64,map,karta,,none
64,newspaper,novine,,none
64,notebook,bilježnica,,none
64,pants,hlače,,none
64,paper,papir,,none
64,pen,kemijska olovka,,none
64,pencil,olovka,,none
64,pharmacy,ljekarna,,none
64,picture,slika,,none
64,plate,ploča,,none
64,refrigerator,hladnjak,,none
64,restaurant,restoran,,none
64,roof,krov,,none
64,room,soba,,none
64,rug,tepih,,none
64,scissors,škare,,none
64,shampoo,šampon,,none
64,shirt,majica,,none
64,shoes,cipele,,none
64,soap,sapun,,none
64,socks,čarape,,none
64,spoon,žlica,,none
64,table,stol,,none
64,toilet,toalet,,none
64,toothbrush,četkica za zube,,none
64,toothpaste,pasta za zube,,none
64,towel,ručnik,,none
64,umbrella,kišobran,,none
64,underwear,donje rublje,,none
64,wall,zid,,none
64,wallet,novčanik,,none
64,window,prozor,,none
64,telephone,telefon,,none
64,this,ovo,,none
64,that,to,,none
64,these,ovi,,none
64,those,oni,,none
64,Questions,Pitanja,,none
64,how?,kako?,,none
64,what?,što?,,none
64,who?,tko?,,none
64,why?,zašto?,,none
64,where?,gdje?,,none
64,different objects,razni predmeti,,none
64,art,umjetnost,,none
64,bank,banka,,none
64,beach,plaža,,none
64,book,knjiga,,none
64,by bicycle,biciklom,,none
64,by bus,autobusom,,none
64,by car,automobilom,,none
64,by train,vlakom,,none
64,cafe,kafič,,none
64,country,zemlja,,none
64,desert,pustinja,,none
64,dictionary,rječnik,,none
64,earth,zemlja,,none
64,flowers,cviječe,,none
64,football,nogomet,,none
64,forest,šuma,,none
64,game,igra,,none
64,garden,vrt,,none
64,geography,zemljopis,,none
64,history,povijest,,none
64,house,kuča,,none
64,island,otok,,none
64,lake,jezero,,none
64,library,knjižnica,,none
64,math,matematika,,none
64,moon,mjesec,,none
64,mountain,planina,,none
64,movies,filmovi,,none
64,music,glazba,,none
64,ocean,ocean,,none
64,office,ured,,none
64,on foot,pješice,,none
64,player,igrač,,none
64,river,rijeka,,none
64,science,znanost,,none
64,sea,more,,none
64,sky,nebo,,none
64,soccer,nogomet,,none
64,stars,zvijezde,,none
64,supermarket,samoposluga,,none
64,swimming pool,bazen,,none
64,theater,kazalište,,none
64,tree,drvo,,none
64,weather,vrijeme,,none
64,bad weather,loše vrijeme,,none
64,cloudy,oblačno,,none
64,cold,hladno,,none
64,cool,svježe,,none
64,foggy,maglovito,,none
64,hot,vruče,,none
64,nice weather,lijepo vrijeme,,none
64,pouring,koji lije,,none
64,rain,kiša,,none
64,raining,kiši,,none
64,snow,snijeg,,none
64,snowing,sniježi,,none
64,ice,led,,none
64,sunny,sunčano,,none
64,windy,vjetrovito,,none
64,spring,prolječe,,none
64,summer,ljeto,,none
64,autumn,jesen,,none
64,winter,zima,,none
64,people,ljudi,,none
64,aunt,tetka,,none
64,baby,beba,,none
64,brother,brat,,none
64,cousin,ročak,,none
64,daughter,kči,,none
64,dentist,zubar,,none
64,doctor,liječnik,,none
64,father,otac,,none
64,grandfather,djed,,none
64,grandmother,baka,,none
64,husband,suprug,,none
64,mother,majka,,none
64,nephew,nečak,,none
64,niece,nečakinja,,none
64,nurse,medicinska sestra,,none
64,policeman,policajac,,none
64,postman,poštar,,none
64,professor,profesor,,none
64,son,sin,,none
64,teacher,učitelj,,none
64,uncle,ujak,,none
64,wife,supruga,,none
1280,Hi!,Zdravo!,,none
1280,Good morning!,Dobro jutro!,,none
640,Good afternoon!,Dobar dan!,,none
640,Good evening!,Dobra večer!,,none
640,Welcome! (to greet someone),Dobrodošli!,,none
640,Hello my friend!,"Pozdrav, prijatelju! (m)",,none
